create_Date,last_update,Price,sales,app_name,Created_by
07-Mar-19, 7 Mar 19,$19,3,Block Puzzle (Admob + GDBR + Android Studio),gradle
07-Mar-19, 7 Mar 19,$19,2,Sudoku Classic,gradle
07-Mar-19, 7 Mar 19,$16,0,Color Switch - BBDOC Buildbox + AdMob + Easy Reskin,TheYashChouhan
07-Mar-19, 7 Mar 19,$22,0,New Game Sky Adventure -Android Action,TaylorAB
07-Mar-19, 7 Mar 19,$20,0,Pop Star Dress Up Games For Kids + Ready For Publish + Android,iQueen
07-Mar-19, 7 Mar 19,$20,0,College Girl Dress Up For Kids + Ready For Publish + Android,iQueen
07-Mar-19, 7 Mar 19,$20,0,Rock Star Dress Up Game For Kids + Ready For Publish + Android,iQueen
07-Mar-19, 7 Mar 19,$59,0,Wild Cube (Buildbox) Fun Arcade Game Template + easy to reskine + AdMob,KartoFun
07-Mar-19, 7 Mar 19,$14,0,Wild Cube (Android) Fun Arcade Game Template + easy to reskine + AdMob,KartoFun
07-Mar-19, 7 Mar 19,$28,1,Super Bilbo Adventure Template Buildbox + Android + Ads Admob,mobiecool
07-Mar-19, 7 Mar 19,$19,0,Stack Box with Admob banner and Interstitial,TheYashChouhan
07-Mar-19, 7 Mar 19,$23,0,Moto bike race game with Buildbox Project - share and review button-easy to reskin,ObGames
07-Mar-19, 7 Mar 19,$25,2,Spin Bubble (Android Studio + admob + GDPR),monkey-creative
07-Mar-19, 7 Mar 19,$35,0,Super one punch coins - Buildbox + iOS Xcode 10 + Android Studio + Admob + GDPR + API 27 + Eclipse,QUESTO_PLAY
07-Mar-19, 7 Mar 19,$19,0,Super one punch coins - Android Studio + Admob + GDPR + API 27 + Eclipse,QUESTO_PLAY
07-Mar-19, 7 Mar 19,$25,1,Best Flip Box Tile Puzzle Game For Kids + Ready For Publish + Android,iQueen
07-Mar-19, 7 Mar 19,$25,1,Tangram Color Puzzle Game For Kids + Ready For Publish + Android,iQueen
07-Mar-19, 7 Mar 19,$22,0,Buy 1 Get 1 Free - Android + Buildbox,zahragames
07-Mar-19, 7 Mar 19,$299,0,8 Ball Pool - Billiards Multiplayer (Android And iOS),blackrock1991
07-Mar-19, 7 Mar 19,$25,0,Best New Baby Born Care Day Game For Kids + Ready For Publish + Android,iQueen
07-Mar-19, 7 Mar 19,$25,1,New Circle Box Puzzle Game For Kids + Ready For Sale + Android,iQueen
07-Mar-19, 7 Mar 19,$19,0,Mario in Subway,subdev
07-Mar-19, 7 Mar 19,$16,0,Super Girl Dress Up Game For Kids + Android + Ready For Publish,iQueen
07-Mar-19, 7 Mar 19,$25,0,Bachelor Party Makeover Game For Girls + Ready For Publish + Android,iQueen
07-Mar-19, 7 Mar 19,$25,0,Princess Baby Bath + Best Casual Game For Kids + Android,iQueen
07-Mar-19, 7 Mar 19,$14,0,Rise Up Game Full Project For All Platforms!,subdev
07-Mar-19, 7 Mar 19,$26,1,Edit TANK Forces - Template Buildbox,aminokee
07-Mar-19, 7 Mar 19,$44,0,Ninja Magic Worlds -With BBDOC file -ADMOB banner and interstitial -Share and review button,GameDev96
07-Mar-19, 7 Mar 19,$28,0,Ninja Magic Worlds -Android Studio -ADMOB banner and interstitial -Share and review button,GameDev96
07-Mar-19, 7 Mar 19,$129,0,Bubble Match: Bubble Shooter Match 3 Puzzle Game (Android And iOS),HA-NGUYEN
07-Mar-19, 7 Mar 19,$299,0,Candy Crushing Match 3 - Juice Jam,HA-NGUYEN
07-Mar-19, 7 Mar 19,$25,0,BABY PLANE (android studio+admob+GDPR)Game For Kids - Ready For Publish - Android,Maykle
07-Mar-19, 7 Mar 19,$199,0,Bus Rush - Subway Surfers Multiplayer (Android And iOS),cambob-25
07-Mar-19, 7 Mar 19,$29,0,Ecommerce Fashion UI Kit with Flutter,logsearcher
07-Mar-19, 7 Mar 19,$19,0,Golpo - A story reading platform with admob and push notifications,Kunjo-software-lab
07-Mar-19, 7 Mar 19,$29,20,Video/Image/Gif/Quote App With Earning sytem (Reward points),virmana
07-Mar-19, 7 Mar 19,$8,9,4K/HD Wallpapers Android (Google Material Design + Admob + Firebase Push Noti + PHP Backend) 1.1,Panacea-Soft
07-Mar-19, 7 Mar 19,$24,1,Sticker Maker for WhatsApp - WAStickerApps Android,IBLInfotech
07-Mar-19, 7 Mar 19,$40,0,Flirt - Firebase Dating App,SunnyAnand
07-Mar-19, 7 Mar 19,$89,0,HiFive Chat App Pro,alpha_apps
07-Mar-19, 7 Mar 19,$39,1,Progressive Web App For Osclass,rackons2015
07-Mar-19, 7 Mar 19,$164,0,Samneang Music Android Streaming - Java,lyheangibell
07-Mar-19, 7 Mar 19,$39,1,Data Crusher - Anti Data Recovery Tool for Android (Admob & GDPR),MobiCube
07-Mar-19, 7 Mar 19,$18,1,GIF Maker,vmg_pankaj
25-Feb-19, 25 Feb 19,$99,0,Magic Piano Tiles + GDPR (Android + IOS),goutaa-32
25-Feb-19, 7 Mar 19,$24,0,Super Trap Adventure ( Android Project + Eclipse + Admob + Bbdoc ),YoYo-Games
25-Feb-19, 25 Feb 19,$25,2,Penguin Jump Escape + Unity Project + IOS and Android,iQueen
25-Feb-19, 25 Feb 19,$25,0,Ninja Stuff Run + Unity Games + IOS and Android,iQueen
25-Feb-19, 7 Mar 19,$15,1,The Maze (Android) Fun Puzzle Game Template + easy to reskine + AdMob,KartoFun
25-Feb-19, 25 Feb 19,$22,2,JellyFish Escape - Android Studio & Eclipse & Buildbox Game Template,RgzStudioTeam
25-Feb-19, 25 Feb 19,$138,0,Mega Bundle 9 Games Android Studio + Admob + GDPR + Eclipse - Run Game,QUESTO_PLAY
